,set_num,name,year,theme_id,num_parts
0,001-1,Gears,1965,1,43
1,0011-2,Town Mini-Figures,1979,67,12
2,0011-3,Castle 2 for 1 Bonus Offer,1987,199,0
3,0012-1,Space Mini-Figures,1979,143,12
4,0013-1,Space Mini-Figures,1979,143,12
5,0014-1,Space Mini-Figures,1979,143,12
6,0015-1,Space Mini-Figures,1979,143,18
7,0016-1,Castle Mini Figures,1979,186,15
8,002-1,4.5V Samsonite Gears Motor Set,1965,1,3
9,002253963-1,Legend of Chima: Corbeaux et Gorilles,2013,497,4
10,003-1,Master Mechanic Set,1966,366,403
11,005-1,Basic Building Set in Cardboard,1965,366,35
12,005-2,Discovery Set,1967,366,0
13,00-6,Special Offer,1985,67,0
14,010-1,Basic Building Set in Cardboard,1965,366,57
15,010-3,Basic Building Set,1968,366,77
16,011-1,Basic Building Set,1968,366,145
17,021-1,Wheel Set,1966,366,183
18,022-1,Basic Building Set,1968,366,110
19,0241187567-1,Ninjago: Build Your Own Adventure,2015,497,74
20,0241357594-1,Star Wars: Build Your Own Adventure: Galactic Missions,2019,497,70
21,028-1,Nursery Furniture,1979,652,7
22,030-2,Building Set,1973,505,29
23,03093-1,The Race to Build It Board Game,1999,22,77
24,032-1,Living Room,1979,652,14
25,033-1,Farm Animals,1979,632,21
26,033-2,Basic Building Set,1968,366,177
27,041-1,Pre-School Beginners Set,1964,440,24
28,041-2,Playhouse,1979,652,1
29,042-1,Jumbo Brick Pull Toy,1966,440,9
30,044-1,Basic Building Set,1968,366,225
31,044-2,Jumbo Bricks,1969,440,30
32,045-1,Farm,1979,632,66
33,045-2,Assorted Clear Bricks & Plates,1969,371,37
34,050-2,Lighting Device Pack,1969,371,4
35,051-1,Assorted Basic Bricks - Red,1966,371,50
36,052-1,Assorted Basic Bricks - White,1966,371,50
37,053-1,Assorted Basic Bricks - Blue,1966,371,50
38,054-1,Assorted Basic Bricks - Yellow,1966,371,50
39,055-1,Trees & Bushes,1966,371,25
40,055-2,Basic Building Set,1968,366,256
41,057-1,Large Wheels,1966,371,17
42,058-1,Small Wheels,1966,371,26
43,060-1,Assorted White Plates,1966,371,15
44,060-3,Jumbo Brick School Set,1968,440,60
45,061-1,Five Large Base Plates - Green,1966,371,5
46,062-1,Five Large Base Plates - White,1966,371,5
47,063-1,Five Large Base Plates - Blue,1966,371,5
48,063-2,Ducks,1978,505,18
49,065-1,Two Garage Door Kits,1969,371,6
50,066-1,Basic Building Set,1968,366,407
51,071-1,Block Box,1979,505,24
52,074-1,Pre-School Set,1976,505,20
53,075-1,Pre-School Set,1975,505,17
54,0751359483-1,The Ultimate LEGO Book,1999,497,0
55,0756668530-1,Atlantis: Brickmaster,2010,497,157
56,0756672805-1,Pirates: Brickmaster,2009,497,162
57,0756682762-1,Ninjago: Brickmaster,2011,497,154
58,0756692571-1,Harry Potter: Characters of the Magical World,2012,497,4
59,077-1,Pre-School Set,1975,505,21
60,078-1,Roadway Base Plate,1970,371,1
61,080-1,Basic Building Set with Train,1967,366,712
62,080-3,Police Station,1976,505,25
63,082-1,Legoville,1976,505,63
64,086-1,Tub Boat,1978,632,3
65,088-1,Super Set,1969,469,615
66,10000-1,Guarded Inn,2001,199,256
67,10000549412-1,Jurassic World - PC DVD,2015,501,0
68,1000-1,Mosaic Set,1985,516,203
69,10001-1,Metroliner,2001,233,787
70,10002-1,Railroad Club Car,2001,233,293
71,1000229927-1,Harry Potter: Years 5-7 - PS Vita,2012,501,0
72,10003-1,1 x 2 Sand Red Bricks,2001,254,100
73,1000368666-1,Batman the Videogame - PSP,2008,501,0
74,10004-1,2 x 2 Sand Red Bricks,2001,254,100
75,1000430096-8,Marvel Super Heroes - PS4,2013,501,0
76,10005-1,2 x 4 Sand Red Bricks,2001,254,50
77,1000565140-1,Jurassic World - Xbox One,2015,501,0
78,1000565190-1,Jurassic World - PS Vita‎,2015,501,0
79,1000565740-1,Marvel Avengers - Xbox One,2016,501,0
80,1000565742-1,Marvel Avengers - PS4,2016,501,0
81,1000565765-1,Marvel Avengers - PS Vita‎,2016,501,0
82,1000565897-5,Marvel Super Heroes - Xbox One,2013,501,0
83,1000577871-1,Marvel Avengers - PC,2016,501,0
84,1000591519-1,Star Wars: The Force Awakens - 3DS,2016,501,0
85,1000591524-1,Star Wars: The Force Awakens - PS Vita,2016,501,0
86,1000598000-1,Star Wars: The Force Awakens Deluxe Edition - PS3,2016,501,0
87,1000600263-1,Star Wars: The Force Awakens - PS3,2016,501,0
88,10006-1,1 x 6 Sand Red Bricks,2001,254,50
89,1000629598-1,Harry Potter Collection - PS4,2016,501,0
90,1000643461-1,Marvel Super Heroes 2 - Xbox One,2017,501,0
91,1000648795-1,Marvel Super Heroes 2 - PS4,2017,501,0
92,1000692713-1,Marvel Super Heroes 2 - Nintendo Switch,2017,501,0
93,1000704831-2,The Incredibles - Nintendo Switch,2019,501,0
94,1000704832-13,The Incredibles - PS4,2019,501,0
95,1000709804-1,DC Super-Villains - Nintendo Switch,2018,501,0
96,1000709806-1,DC Super-Villains - PS4,2018,501,0
97,1000709807-1,The Incredibles - Xbox One,2019,501,0
98,10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,254,25
99,1000724950-1,Harry Potter Collection - Xbox One,2016,501,0
100,1000724951-1,Harry Potter Collection - Nintendo Switch,2016,501,0
101,1000739974-1,The LEGO Movie 2 Videogame - Nintendo Switch,2019,501,0
102,1000739975-1,The LEGO Movie 2 Videogame - PS4,2019,501,0
103,1000739976-1,The LEGO Movie 2 Videogame - Xbox One,2019,501,0
104,1000746530-1,Jurassic World - Nintendo Switch,2015,501,0
105,10008-1,2 x 4 Roof Tile Sand Red,2001,254,50
106,10009-1,Assorted Blue Bricks,2001,254,62
107,100-1,4.5V Motor with Wheels (Small Version),1966,235,16
108,10010-1,Assorted Yellow Bricks,2003,254,63
109,10011-1,Assorted Blue Plates,2001,254,42
110,10012-1,Assorted Yellow Plates,2001,254,42
111,10013-1,Open Freight Wagon,2001,236,121
112,10014-1,Caboose,2001,236,170
113,10015-1,Passenger Wagon,2001,236,194
114,10016-1,Tanker,2001,236,128
115,10017-1,Hopper Wagon,2001,236,228
116,10018-1,Darth Maul,2001,171,1868
117,10019-1,Rebel Blockade Runner,2001,171,1748
118,100-2,4.5V Motor with Wheels (Large Version),1966,235,27
119,10020-1,Santa Fe Super Chief,2002,236,435
120,10020-2,Santa Fe Super Chief - Limited Edition,2002,236,441
121,10021-1,U.S.S. Constellation,2003,404,975
122,10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,236,411
123,10023-1,Master Builder Set,2002,324,111
124,10024-1,Red Baron,2002,673,670
125,10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,236,326
126,10026-1,Naboo Starfighter,2002,171,188
127,10027-1,Train Engine Shed,2003,105,670
128,10029-1,Lunar Lander,2003,387,469
129,10030-1,Imperial Star Destroyer,2002,171,3116
130,10036-1,Pizza To Go,2002,50,151
131,10037-1,Breezeway Cafe,2002,50,195
132,10039-1,Black Falcon's Fortress,2002,187,430
133,10040-1,Black Seas Barracuda,2002,148,916
134,10041-1,Main Street,2003,50,640
135,10042-1,American Flag,2003,206,35
136,10043-1,2x2 Electrical Plate,2002,254,1
137,10044-1,Windows and Doors,2002,254,44
138,10045-1,Pillars and Beams,2002,254,13
139,10046-1,Brown Tiles,2002,254,100
140,10047-1,Light Gray Arches,2002,254,36
141,10048-1,Small Wheels and Axles,2002,254,61
142,10049-1,Large Wheels and Axles,2002,254,31
143,10050-1,Gray Fences,2002,254,34
144,10051-1,Transparent Bricks,2002,254,50
145,10052-1,Intelligent Locomotive (Explore),2003,634,7
146,10053-1,Black Slopes 33,2003,254,44
147,10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003,254,68
148,10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003,254,50
149,10056-1,White Plates 2 x n,2002,254,56
150,10057-1,Black Plates 2 x n,2002,254,56
151,10058-1,Red Plates 2 x n,2002,254,56
152,10059-1,Dark Green Plates 2 x n,2002,254,56
153,10060-1,Light Gray Plates 2 x n,2002,254,56
154,10061-1,Black Plates 1 x n,2002,254,84
155,10062-1,Red Plates 1 x n,2002,254,84
156,10063-1,Dark Green Plates 1 x n,2002,254,84
157,10064-1,Light Gray Plates 1 x n,2002,254,84
158,10065-1,White Plates 1 x n,2002,254,84
159,10066-1,Castle Accessories,2002,255,41
160,10067-1,Mini-Fig Headgear,2002,254,53
161,10068-1,Santa Claus,2002,227,39
162,10069-1,Christmas Tree,2002,227,33
163,10070-1,Reindeer,2002,227,26
164,10071-1,Mr. Bunny,2003,229,25
165,10072-1,TECHNIC Beams,2003,256,56
166,10073-1,Bushes,2003,256,130
167,10074-1,Cross Axles,2003,256,68
168,10075-1,Spider-Man Action Pack,2002,706,25
169,10076-1,TECHNIC Gear Wheels,2002,256,40
170,10077-1,TECHNIC Motor,2003,256,55
171,10078-1,Train Connection Wire,2003,257,1
172,10079-1,Snowman,2003,227,42
173,10080-1,Angel,2003,227,33
174,10081-1,Birthday Pack Heart,2004,500,70
175,10082-1,Birthday Pack Daisy,2004,500,70
176,10083-1,Birthday Pack Star,2004,500,70
177,10090-1,Turkey,2003,231,54
178,100STORES-1,100 LEGO Stores North America,2019,408,5
179,10106-1,Snowflake,2006,227,107
180,101-1,4.5V Battery Case,1969,235,1
181,1011-1,Number/Symbol Blocks,1976,516,100
182,10111-1,Foliferous Tree,2001,254,10
183,10112-1,Bush,2001,254,25
184,10113-1,Cypress Trees,2001,254,5
185,10114-1,2 x 2 Sand Red Roof Tiles,2001,254,100
186,10115-1,Jumper Bricks,2001,254,80
187,10116-1,Accessories Heart,2004,500,50
188,10117-1,Accessories Daisy,2004,500,50
189,10118-1,Accessories Star,2004,500,50
190,101-2,Imagination Set 1,1971,366,298
191,10121-1,NBA Basketball Teams,2003,459,20
192,10123-1,Cloud City,2003,171,707
193,10124-1,Wright Flyer,2003,673,663
194,10127-1,NHL Action Set with Stickers,2003,461,59
195,10128-1,Train Level Crossing,2003,105,327
196,10129-1,Rebel Snowspeeder,2003,171,1457
197,101-3,4.5V Battery Case,1966,235,1
198,1013-1,Numbers (6 Symbols),1985,516,0
199,10131-1,TIE Fighter Collection,2004,171,685
200,10132-1,Motorized Hogwarts Express,2004,246,713
201,10133-1,Burlington Northern Santa Fe Locomotive,2004,236,409
202,10134-1,Y-wing Attack Starfighter,2004,171,1490
203,10135-1,Holiday Decoration Kit,2004,500,282
204,1014-1,Universal Joints,1982,453,16
205,1014-2,Mosaic Set - Domestic Animals,1985,516,80
206,10143-1,Death Star II,2005,171,3461
207,10144-1,Sandcrawler,2005,171,1682
208,10145-1,Assorted Light Gray Bricks,2004,254,124
209,10146-1,Assorted Dark Gray Bricks,2004,254,62
210,10147-1,Assorted Brown Bricks,2004,254,62
211,10148-1,Assorted Light Gray Plates,2004,254,84
212,10149-1,Assorted Dark Gray Plates,2004,254,42
213,10150-1,Assorted Brown Plates,2004,254,42
214,1015-1,Letters Large,1982,516,192
215,10151-1,Hot Rod,2004,278,422
216,10152-1,Maersk Sealand Container Ship 2004 Edition,2004,673,988
217,10152-2,Maersk Sealand Container Ship 2005 Edition,2005,673,988
218,10152-3,Maersk Line Container Ship 2006 Edition,2006,673,988
219,10153-1,Electric Train Motor 9V (My Own Train),2002,236,3
220,10155-1,Maersk Line Container Ship 2010 Edition,2010,673,990
221,10156-1,LEGO Truck,2004,50,105
222,10157-1,High Speed Train Locomotive,2004,105,143
223,10158-1,High Speed Train Car,2004,105,161
224,10159-1,City Airport,2004,53,914
225,10159-2,City Airport (Full Size Image Box),2004,50,914
226,10160-1,Black Ridge Roof Tiles,2004,254,48
227,10161-1,Black Roof Tiles,2004,254,76
228,10162-1,Red Ridge Tiles,2004,254,48
229,10163-1,Red Roof Tiles,2004,254,76
230,10165-1,Elf Boy,2004,227,27
231,10166-1,Elf Girl,2004,227,31
232,10167-1,Brickmaster Welcome Kit,2004,301,182
233,10168-1,Mrs. Bunny,2005,229,64
234,10169-1,Chicken & Chicks,2005,229,61
235,10170-1,TTX Intermodal Double-Stack Car,2005,236,366
236,1017-1,Letter Bricks for Wall Board,1976,516,150
237,10173-1,Holiday Train,2006,673,969
238,10174-1,Imperial AT-ST,2006,171,1069
239,10175-1,Vader's TIE Advanced,2006,171,1212
240,10176-1,Royal King's Castle,2006,197,877
241,10177-1,Boeing 787 Dreamliner,2006,673,1197
242,10178-1,Motorized Walking AT-AT,2007,171,1137
243,10179-1,Millennium Falcon,2007,171,5197
244,10181-1,Eiffel Tower 1:300,2007,673,3428
245,10182-1,Cafe Corner,2007,155,2058
246,10183-1,Hobby Train,2007,397,1080
247,10184-1,Town Plan,2008,104,2017
248,10185-1,Green Grocer,2008,155,2358
249,10186-1,General Grievous,2008,171,1085
250,10187-1,Volkswagen Beetle,2008,673,1626
251,10188-1,Death Star,2008,171,3809
