,Set ID,Set Number,Set Name,Release Year,Theme,Theme Group,Subtheme,Number of Pieces,Brickset Rating,Min Age Range,Max Age Range
382,24218,70744,Airjitzu Wrayth Flyer,2015,Ninjago,Action/Adventure,Airjitzu,43,3.6,6,14
15,8521,2174,Kruncha,2011,Ninjago,Action/Adventure,Spinners,24,3.5,6,14
294,24772,70604,Tiger Widow Island,2016,Ninjago,Action/Adventure,Skybound,450,4.2,8,14
200,23985,40093,Snowman,2014,Seasonal,Miscellaneous,Christmas,140,3.9,7,
425,30781,71736,Boulder Blaster,2021,Ninjago,Action/Adventure,Legacy,449,4.0,8,
687,29622,891955,Kai,2019,Ninjago,Action/Adventure,Magazine Gift,6,3.2,,
117,9255,30160,Batman Jetski,2012,DC Comics Super Heroes,Licensed,Batman,40,3.4,5,12
254,32171,40484,Santa's Front Yard,2021,Seasonal,Miscellaneous,Christmas,317,3.7,9,
51,8871,9440,Venomari Shrine,2012,Ninjago,Action/Adventure,Rise of the Snakes,86,3.5,7,12
404,29414,71708,Gamer's Market,2020,Ninjago,Action/Adventure,Prime Empire,218,4.3,7,
331,28393,70663,Spinjitzu Nya & Wu,2019,Ninjago,Action/Adventure,Spinjitzu,227,4.1,,
204,24820,40123,Thanksgiving Feast,2015,Seasonal,Miscellaneous,Thanksgiving,158,3.9,7,
52,8873,9441,Kai's Blade Cycle,2012,Ninjago,Action/Adventure,Rise of the Snakes,188,3.7,8,14
308,27418,70637,Cole - Spinjitzu Master,2018,Ninjago,Action/Adventure,Spinjitzu Masters,73,3.6,6,14
328,28391,70660,Spinjitzu Jay,2019,Ninjago,Action/Adventure,Spinjitzu,97,3.9,,
488,24700,76061,Mighty Micros: Batman vs. Catwoman,2016,DC Comics Super Heroes,Licensed,Mighty Micros,79,3.2,5,12
329,28392,70661,Spinjitzu Zane,2019,Ninjago,Action/Adventure,Spinjitzu,109,4.0,,
141,28541,30535,Fire Flight,2019,Ninjago,Action/Adventure,Legacy,54,3.4,6,
387,23870,70749,Enter the Serpent,2015,Ninjago,Action/Adventure,Tournament of Elements,529,3.9,7,14
332,28394,70664,Spinjitzu Lloyd vs. Garmadon,2019,Ninjago,Action/Adventure,Spinjitzu,208,4.0,,
134,24986,30446,The Batmobile,2016,DC Comics Super Heroes,Licensed,DC Extended Universe,63,3.6,6,12
384,23813,70746,Condrai Copter Attack,2015,Ninjago,Action/Adventure,Tournament of Elements,311,3.8,7,14
145,28078,30547,Dragon Hunter,2018,Ninjago,Action/Adventure,Hunted,61,3.7,7,12
216,26278,40204,Pilgrim's Feast,2016,Seasonal,Miscellaneous,Thanksgiving,163,3.8,7,
503,27306,76097,Lex Luthor Mech Takedown,2018,DC Comics Super Heroes,Licensed,Justice League,406,4.2,,
346,29087,70678,Castle of the Forsaken Emperor,2019,Ninjago,Action/Adventure,Secrets of the Forbidden Spinjitzu,1218,4.1,9,
755,28333,5005253,Christmas Ornament 2018 - Reindeer Head,2018,Seasonal,Miscellaneous,Christmas,28,3.8,6,
389,24155,70751,Temple of Airjitzu,2015,Ninjago,Action/Adventure,General,2028,4.6,14,
125,23287,30300,The Batman Tumbler,2014,DC Comics Super Heroes,Licensed,The Dark Knight Trilogy,57,3.7,6,12
54,8870,9443,Rattlecopter,2012,Ninjago,Action/Adventure,Rise of the Snakes,327,3.9,8,14
84,9198,9574,Lloyd ZX,2012,Ninjago,Action/Adventure,Spinners,23,4.3,6,14
430,30706,71741,NINJAGO City Gardens,2021,Ninjago,Action/Adventure,Legacy,5685,4.6,14,
