,Set ID,Set Number,Set Name,Release Year,Theme,Number of Pieces,Brickset Rating,Subtheme
248,24488,41108,Heartlake Food Market,2015,Friends,388,4.1,
252,24897,41112,Party Cakes,2016,Friends,50,3.4,Party
300,26762,41324,Snow Resort Ski Lift,2017,Friends,585,3.8,Snow Resort
224,23351,41058,Heartlake Shopping Mall,2014,Friends,1120,3.7,
37,8721,21009,Farnsworth House,2011,Architecture,546,4.1,Architect Series
356,28551,41383,Olivia's Hamster Playground,2019,Friends,81,3.8,
235,23859,41094,Heartlake Lighthouse,2015,Friends,473,3.8,
186,9566,41013,Emma's Sports Car,2013,Friends,159,3.7,
332,28489,41357,Olivia's Heart Box,2019,Friends,85,3.7,Heart Box
573,23690,850967,Jungle Accessory Set,2014,Friends,39,3.7,Jungle Rescue
324,27945,41349,Drifting Diner,2018,Friends,345,3.8,Racing
185,9565,41011,Stephanie's Soccer Practice,2013,Friends,80,3.6,
258,24733,41118,Heartlake Supermarket,2016,Friends,313,3.9,
31,6897,21003,Seattle Space Needle,2009,Architecture,57,3.6,Landmark Series
205,23343,41033,Jungle Falls Rescue,2014,Friends,183,3.8,Jungle Rescue
206,23344,41034,Summer Caravan,2014,Friends,297,3.8,Summer
44,9347,21016,Sungnyemun,2012,Architecture,325,4.2,Landmark Series
57,25619,21030,United States Capitol Building,2016,Architecture,1032,4.3,Landmark Series
353,29067,41380,Lighthouse Rescue Centre,2019,Friends,602,4.2,
182,9564,41008,Heartlake City Pool,2013,Friends,423,3.4,
215,23079,41043,Penguin's Playground,2014,Friends,46,4.0,Animals series 4
92,24587,21303,WALL-E,2015,Ideas,677,4.5,Licensed
255,24730,41115,Emma's Creative Workshop,2016,Friends,108,3.7,
58,24665,21031,Burj Khalifa,2016,Architecture,333,4.0,Landmark Series
307,27719,41332,Emma's Art Stand,2018,Friends,210,3.8,
77,29940,21054,The White House,2020,Architecture,1483,4.1,Landmark Series
207,23087,41035,Heartlake Juice Bar,2014,Friends,277,4.0,
41,9346,21013,Big Ben,2012,Architecture,346,3.8,Landmark Series
302,26763,41326,Friends Advent Calendar,2017,Friends,217,3.8,Seasonal
173,33758,40533,Cosmic Cardboard Adventures,2022,Ideas,203,4.1,Promotional
351,29068,41378,Dolphins Rescue Mission,2019,Friends,363,4.1,
113,30742,21324,123 Sesame Street,2020,Ideas,1367,4.4,Licensed
333,28488,41358,Mia's Heart Box,2019,Friends,83,2.9,Heart Box
198,23083,41026,Sunshine Harvest,2014,Friends,233,3.8,
275,24737,41135,Livi's Pop Star House,2016,Friends,597,4.0,Pop Star
250,24728,41110,Birthday Party,2016,Friends,191,3.4,Party
200,23085,41028,Emma's Lifeguard Post,2014,Friends,78,3.6,Summer
265,25936,41125,Horse Vet Trailer,2016,Friends,370,3.7,Vet
141,24097,30204,Wish Fountain,2015,Friends,44,3.3,
323,27944,41348,Service & Care Truck,2018,Friends,247,3.7,Racing
261,24736,41121,Adventure Camp Rafting,2016,Friends,320,4.0,Adventure Camp
59,26415,21032,Sydney,2017,Architecture,361,3.9,Skylines
276,26450,41300,Puppy Championship,2017,Friends,185,3.6,Dog Show
269,25940,41129,Amusement Park Hot Dog Van,2016,Friends,243,4.0,Amusement Park
284,26458,41308,Stephanie's Friendship Cakes,2017,Friends,94,3.7,
149,27674,30403,Olivia's Remote Control Boat,2018,Friends,25,3.3,
75,29744,21051,Tokyo,2020,Architecture,547,4.2,Skylines
259,24734,41119,Heartlake Cupcake Cafe,2016,Friends,438,4.0,
6,9189,3186,Emma's Horse Trailer,2012,Friends,218,3.6,
36,8707,21008,Burj Khalifa,2011,Architecture,208,3.3,Landmark Series
