,Set ID,Set Number,Set Name,Release Year,Theme,Subtheme,Number of Pieces,Brickset Rating
761,28402,75225,Elite Praetorian Guard Battle Pack,2019,Star Wars,The Last Jedi,109,3.9
621,23787,75082,TIE Advanced Prototype,2015,Star Wars,Rebels,355,4.0
792,29029,75258,Anakin's Podracer – 20th Anniversary Edition,2019,Star Wars,Episode I,279,4.1
283,26729,21136,The Ocean Monument,2017,Minecraft,Minifig-scale,1122,3.9
74,3822,7159,Star Wars Podracing Bucket,2000,Star Wars,Episode I,292,3.0
796,29678,75263,Resistance Y-wing Microfighter,2020,Star Wars,Microfighters,86,3.7
674,24797,75138,Hoth Attack,2016,Star Wars,Episode V,233,3.8
10,2141,4480,Jabba's Palace,2003,Star Wars,Episode VI,231,3.8
953,30037,912058,Sith Infiltrator,2020,Star Wars,Magazine Gift,34,3.6
114,5873,7663,Sith Infiltrator,2007,Star Wars,Episode I,310,3.8
665,24788,75129,Wookiee Gunship Microfighter,2016,Star Wars,Microfighters,84,3.7
90,3864,7250,Clone Scout Walker,2005,Star Wars,Episode III,108,4.0
655,24781,75116,Finn,2016,Star Wars,Buildable Figures,98,3.5
229,4799,10143,Death Star II,2005,Star Wars,Ultimate Collector Series,3441,4.4
921,27330,911726,Imperial Snowtrooper,2017,Star Wars,Magazine Gift,5,3.8
651,24465,75112,General Grievous,2015,Star Wars,Buildable Figures,186,4.5
246,22980,11905,Brickmaster Star Wars: Battle for the Stolen Crystals parts,2013,Star Wars,The Clone Wars,189,3.7
276,26465,21129,The Mushroom Island,2017,Minecraft,Minifig-scale,247,3.7
615,23796,75076,Republic Gunship Microfighter,2015,Star Wars,Microfighters,105,3.8
753,27796,75217,Imperial Conveyex Transport,2018,Star Wars,Solo,622,3.7
155,8591,7964,Republic Frigate,2011,Star Wars,The Clone Wars,1015,4.3
717,26714,75182,Republic Fighter Tank,2017,Star Wars,The Clone Wars,305,4.1
707,26496,75172,Y-wing Starfighter,2017,Star Wars,Rogue One,691,4.4
298,28382,21151,The End Battle,2019,Minecraft,Minifig-scale,222,3.9
598,22973,75046,Coruscant Police Gunship,2014,Star Wars,The Clone Wars,481,4.2
686,25920,75151,Clone Turbo Tank,2016,Star Wars,Episode III,903,4.1
766,28147,75230,Porg,2018,Star Wars,The Last Jedi,811,4.2
377,32273,30495,AT-ST,2022,Star Wars,Episode V,79,3.2
791,29357,75257,Millennium Falcon,2019,Star Wars,The Rise of Skywalker,1351,4.4
386,30730,30625,Luke Skywalker with Blue Milk,2022,Star Wars,Episode IV,6,4.5
559,9859,75005,Rancor Pit,2013,Star Wars,Episode VI,380,4.1
804,29380,75271,Luke Skywalker's Landspeeder,2020,Star Wars,Episode IV,236,3.8
94,3868,7256,Jedi Starfighter and Vulture Droid,2005,Star Wars,Episode III,202,4.0
341,7726,30051,Mini X-wing,2010,Star Wars,Mini Building Set,61,3.8
732,27495,75196,A-Wing vs. TIE Silencer Microfighters,2018,Star Wars,MicroFighters,188,3.8
186,7576,8089,Hoth Wampa Cave,2010,Star Wars,Episode V,297,4.0
104,5032,7283,Ultimate Space Battle,2005,Star Wars,Episode III,567,4.8
952,30000,912057,R2-D2 and MSE-6,2020,Star Wars,Magazine Gift,13,3.6
303,29484,21156,BigFig Creeper and Ocelot,2020,Minecraft,Bigfigs,184,4.0
919,27218,911724,A-wing,2017,Star Wars,Magazine Gift,47,4.1
79,3827,7180,B-wing at Rebel Control Center,2000,Star Wars,Episode VI,338,3.9
920,27273,911725,Sandcrawler,2017,Star Wars,Magazine Gift,50,3.5
364,31052,30331,The Nether Duel,2021,Minecraft,Minifig-scale,28,3.8
641,24224,75102,Poe's X-wing Fighter,2015,Star Wars,The Force Awakens,717,4.3
284,27049,21137,The Mountain Cave,2017,Minecraft,Minifig-scale,2863,4.6
943,29317,911948,AT-M6,2019,Star Wars,Magazine Gift,52,3.6
733,27447,75197,First Order Specialists Battle Pack,2018,Star Wars,The Last Jedi,108,3.6
141,8583,7877,Naboo Starfighter,2011,Star Wars,Episode I,318,3.9
755,27798,75219,Imperial AT-Hauler,2018,Star Wars,Solo,829,3.8
664,24787,75128,TIE Advanced Prototype Microfighter,2016,Star Wars,MicroFighters,93,3.6
