,id,name,parent_id
0,1,Technic,
1,3,Competition,1.0
2,4,Expert Builder,1.0
3,16,RoboRiders,1.0
4,17,Speed Slammers,1.0
5,18,Star Wars,1.0
6,19,Supplemental,1.0
7,20,Throwbot Slizer,1.0
8,21,Universal Building Set,1.0
9,22,Creator,
10,23,Basic Model,22.0
11,34,Building,23.0
12,35,Cargo,23.0
13,50,Town,
14,51,Arctic,50.0
15,52,City,
16,53,Airport,52.0
17,54,Cargo,52.0
18,55,Coast Guard,52.0
19,56,Construction,52.0
20,57,Farm,52.0
21,58,Fire,52.0
22,59,Harbor,52.0
23,60,Hospital,52.0
24,61,Police,52.0
25,63,Traffic,52.0
26,64,Off-Road,52.0
27,65,Arctic,52.0
28,66,Trains,52.0
29,67,Classic Town,50.0
30,86,Divers,50.0
31,87,Extreme Team,50.0
32,88,Launch Command,50.0
33,89,Outback,50.0
34,90,Paradisa,50.0
35,91,Race,50.0
36,92,Res-Q,50.0
37,93,Space Port,50.0
38,94,Town Jr.,50.0
39,104,Town Plan,50.0
40,105,World City,50.0
41,106,City Center,50.0
42,112,Racers,
43,114,Ferrari,112.0
44,118,Speed Racer,112.0
45,122,Williams F1,112.0
46,123,World Racers,112.0
47,126,Space,
48,127,Alien Conquest,126.0
49,128,Blacktron I,126.0
50,129,Blacktron II,126.0
51,130,Classic Space,126.0
52,131,Exploriens,126.0
53,132,Futuron,126.0
54,133,Ice Planet 2002,126.0
55,134,Insectoids,126.0
56,135,Life On Mars,126.0
57,136,M:Tron,126.0
58,137,Mars Mission,126.0
59,138,RoboForce,126.0
60,139,Space Police I,126.0
61,140,Space Police II,126.0
62,141,Space Police III,126.0
63,142,Spyrius,126.0
64,143,Supplemental,126.0
65,144,UFO,126.0
66,145,Unitron,126.0
67,146,Galaxy Squad,126.0
68,147,Pirates,
69,148,Pirates I,147.0
70,153,Pirates II,147.0
71,154,Pirates III,147.0
72,155,Modular Buildings,
73,156,Mini,155.0
74,157,Bricktober,155.0
75,158,Star Wars,
76,171,Ultimate Collector Series,158.0
77,186,Castle,
78,187,Black Falcons,186.0
79,188,Black Knights,186.0
80,189,Classic Castle,186.0
81,190,Crusaders,186.0
82,191,Dark Forest,186.0
83,193,Fantasy Era,186.0
84,194,Forestmen,186.0
85,195,Fright Knights,186.0
86,196,Kingdoms,186.0
87,197,Knights Kingdom I,186.0
88,198,Knights Kingdom II,186.0
89,199,Lion Knights,186.0
90,201,Royal Knights,186.0
91,202,Supplemental,186.0
92,203,Wolfpack,186.0
93,204,Designer Sets,
94,206,Seasonal,
95,207,Advent,206.0
96,208,City,207.0
97,209,Star Wars,207.0
98,210,Belville,207.0
99,211,Castle,207.0
100,212,Classic Basic,207.0
101,213,Clikits,207.0
102,214,Creator,207.0
103,215,Pirates,207.0
104,216,Friends,207.0
105,227,Christmas,206.0
106,228,Creator,227.0
107,229,Easter,206.0
108,230,Halloween,206.0
109,231,Thanksgiving,206.0
110,232,Valentine,206.0
111,233,Train,
112,234,12V,233.0
113,235,4.5V,233.0
114,236,9V,233.0
115,240,RC Train,233.0
116,241,Supplemental,233.0
117,246,Harry Potter,
118,252,Architecture,
119,253,Skylines,252.0
120,254,Bulk Bricks,
121,255,Castle,254.0
122,256,Technic,254.0
123,257,Train,254.0
124,258,Mindstorms,
125,259,NXT,258.0
126,260,RCX,258.0
127,261,Star Wars,258.0
128,262,EV3,258.0
129,263,Pirates of the Caribbean,
130,264,Indiana Jones,
131,269,Cars,
132,270,Ben 10,
133,271,Prince of Persia,
134,272,SpongeBob SquarePants,
135,273,Studios,
136,274,Jurassic Park III,273.0
137,275,Toy Story,
138,276,Sculptures,
139,277,Mosaic,276.0
140,278,Model Team,
141,279,4 Juniors,
142,280,Jack Stone,279.0
143,287,Spider-Man,279.0
144,296,Adventurers,
145,297,Desert,296.0
146,298,Dino Island,296.0
147,299,Jungle,296.0
148,300,Orient Expedition,296.0
149,301,Other,
150,302,Agents,
151,303,Ultra Agents,302.0
152,304,Alpha Team,
153,305,Mission Deep Sea,304.0
154,306,Mission Deep Freeze,304.0
155,307,Aquazone,
156,308,Aquanauts,307.0
157,309,Aquaraiders I,307.0
158,310,Aquaraiders II,307.0
159,311,Aquasharks,307.0
160,312,Hydronauts,307.0
161,313,Stingrays,307.0
162,315,Atlantis,
163,317,Avatar: The Last Airbender,
164,318,Belville,
165,324,Bionicle,
166,341,Playsets,324.0
167,360,Protectors,324.0
168,363,Boat,
169,364,Building Set with People,
170,365,System,
171,366,Basic Set,365.0
172,367,Building,365.0
173,368,HO 1:87 Vehicles,365.0
174,369,Jumbo Bricks,365.0
175,371,Supplemental,365.0
176,372,Town Plan,365.0
177,373,Vehicle,365.0
178,384,Dino 2010,
179,385,Dino Attack,
180,386,Dinosaurs,
181,387,Discovery,
182,388,Disney's Mickey Mouse,
183,389,Exo-Force,
184,390,Fabuland,
185,397,Factory,
186,398,FIRST LEGO League,
187,399,Freestyle,
188,400,Hero Factory,
189,401,Heroes,400.0
190,403,Villains,400.0
191,404,Hobby Sets,
192,405,Homemaker,
193,406,Inventor,
194,407,Island Xtreme Stunts,
195,408,LEGO Brand Store,
196,409,Monthly Mini Model Build,408.0
197,410,Pick A Model,408.0
198,411,Legoland,
199,412,Airport,411.0
200,413,Building,411.0
201,414,Castle,411.0
202,415,Coast Guard,411.0
203,416,Construction,411.0
204,417,Fire,411.0
205,418,Gas Station,411.0
206,419,Harbor,411.0
207,420,Hospital,411.0
208,421,Police,411.0
209,422,Space,411.0
210,423,Vehicle,411.0
211,424,Western,411.0
212,425,Legoland Parks,
213,432,Master Builder Academy,
214,433,Minitalia,
215,434,Ninja,
216,435,Ninjago,
217,437,Pharaoh's Quest,
218,438,Power Functions,
219,439,Power Miners,
220,440,Primo,
221,441,Quatro,
222,442,Rock Raiders,
223,443,Service Packs,
224,448,Fabuland,443.0
225,453,Technic,443.0
226,456,Train,443.0
227,458,Sports,
228,459,Basketball,458.0
229,460,Gravity Games,458.0
230,461,Hockey,458.0
231,462,Soccer,458.0
232,463,Spybotics,
233,464,Time Cruisers,
234,465,Universal Building Set,
235,466,Airport,465.0
236,467,Basic,465.0
237,468,Basic Model,465.0
238,469,Basic Set,465.0
239,470,Classic Basic,465.0
240,471,Ferries,465.0
241,472,Gears,465.0
242,473,Supplemental,465.0
243,474,Vikings,
244,475,Western,
245,478,X-Pod,
246,480,Znap,
247,481,Dino,
248,494,Friends,
249,497,Books,
250,498,Technic,497.0
251,500,Clikits,
252,501,Gear,
253,502,Games,
254,503,Key Chain,501.0
255,504,Duplo,
256,505,Basic Set,504.0
257,506,Cars,504.0
258,507,Educational and Dacta,
259,509,Adventurers,507.0
260,510,Boat,507.0
261,511,Building Set with People,507.0
262,512,Castle,507.0
263,513,Classic,507.0
264,514,Creator,507.0
265,515,Dinosaurs,507.0
266,516,Duplo and Explore,507.0
267,517,Learning,507.0
268,518,Mindstorms,507.0
269,519,NXT,518.0
270,520,RCX,518.0
271,521,WeDo,518.0
272,523,Samsonite,507.0
273,524,Service Packs,507.0
274,525,Technic,524.0
275,526,Soft Bricks,507.0
276,527,Space,507.0
277,528,Supplemental,507.0
278,529,Technic,507.0
279,530,Control Lab,529.0
280,531,eLAB,529.0
281,532,Supplemental,529.0
282,533,Town,507.0
283,534,Universal Building Set,507.0
284,535,Collectible Minifigures,
285,536,Series 1 Minifigures,535.0
286,537,Series 2 Minifigures,535.0
287,538,Series 3 Minifigures,535.0
288,539,Series 4 Minifigures,535.0
289,540,Series 5 Minifigures,535.0
290,541,Series 6 Minifigures,535.0
291,542,Series 7 Minifigures,535.0
292,543,Series 8 Minifigures,535.0
293,544,Series 9 Minifigures,535.0
294,545,Series 10 Minifigures,535.0
295,546,Team GB,535.0
296,547,Series 11 Minifigures,535.0
297,548,Series 12 Minifigures,535.0
298,549,The LEGO Movie,535.0
299,550,The Simpsons Series 1,535.0
300,551,Series 13 Minifigures,535.0
